FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr,FundingInstrumentGa
Horizon Europe Transitional Measures,246813,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,185065,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,245485,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,281960,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,256000,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,232050,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,259033,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,123377,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,246754,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,172020,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,296600,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,261107,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,287206,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,227988,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,289640,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,223520,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,256610,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,254651,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,129377,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,250780,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,246093,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,283347,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,268855,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,255400,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,246279,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,222700,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,270614,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,249902,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,231640,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
